Time,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,P,Q,R,Phi,Theta,Psi,Class
96,5861.997989,6078.942619,6170.489998,6262.037376,6045.092745,5953.545367,0.409280317,0.119175992,0.006187439,0.258496141,0.341006878,0.151160877,0
97,5861.379088,6078.942644,6170.79946,6262.656276,6045.09272,5953.235904,0.402798728,0.117139597,0.005727489,0.2626852,0.342133184,0.151545061,0
98,5860.760195,6078.942666,6171.108918,6263.275169,6045.092698,5952.926447,0.396346642,0.115139697,0.005267387,0.266808249,0.343239703,0.151924045,0
99,5860.141308,6078.942686,6171.418371,6263.894056,6045.092679,5952.616994,0.389923902,0.113173539,0.004807123,0.27086551,0.34432686,0.152297675,0
100,5859.522427,6078.942703,6171.72782,6264.512937,6045.092662,5952.307545,0.383530862,0.1112386,0.004346701,0.274857209,0.345395051,0.1526658,0
101,5858.903551,6078.942718,6172.037265,6265.131813,6045.092647,5951.998099,0.377168317,0.109332581,0.003886135,0.27878358,0.346444649,0.153028271,0
102,5858.28468,6078.942731,6172.346708,6265.750685,6045.092634,5951.688657,0.370837451,0.107453401,0.003425449,0.282644864,0.347476003,0.15338494,0
103,5857.665812,6078.942742,6172.656147,6266.369553,6045.092622,5951.379217,0.364539775,0.10559918,0.002964675,0.286441318,0.348489444,0.153735661,0
104,5857.046947,6078.942752,6172.965585,6266.988417,6045.092612,5951.06978,0.358277076,0.103768236,0.002503852,0.290173218,0.349485283,0.154080292,0
105,5856.428086,6078.942761,6173.27502,6267.607279,6045.092604,5950.760345,0.352051363,0.10195907,0.002043024,0.293840857,0.350463814,0.15441869,0
106,5855.809227,6078.942769,6173.584453,6268.226138,6045.092596,5950.450911,0.345864823,0.100170354,0.001582243,0.297444551,0.351425319,0.15475072,0
107,5855.19037,6078.942775,6173.893885,6268.844994,6045.092589,5950.14148,0.339719776,0.098400926,0.001121559,0.300984641,0.352370062,0.155076246,0
108,5854.571515,6078.942781,6174.203315,6269.463849,6045.092583,5949.832049,0.333618629,0.09664977,0.00066103,0.304461491,0.353298298,0.155395138,0
109,5853.952662,6078.942786,6174.512744,6270.082702,6045.092578,5949.52262,0.327563847,0.094916014,0.000200714,0.307875492,0.354210272,0.155707266,0
110,5853.333811,6078.942791,6174.822172,6270.701554,6045.092574,5949.213192,0.321557909,0.093198913,-0.000259333,0.311227061,0.355106219,0.156012508,0
111,5852.714961,6078.942795,6175.131599,6271.320404,6045.09257,5948.903765,0.315603285,0.091497839,-0.000719049,0.314516639,0.355986365,0.156310743,0
112,5852.13218,6078.90673,6175.404957,6271.903184,6045.128635,5948.630407,0.309701518,0.089812275,-0.001178399,0.317744698,0.35685093,0.156601857,0
113,5851.936958,6078.483107,6175.290756,6272.098406,6045.552258,5948.744608,0.303649645,0.088141846,-0.001641971,0.320911035,0.357700133,0.156885721,0
